名前,レイヤー,給与タイプ,給与額,生年月日,固定店舗,出勤不可曜日,メモ
店長 佐藤,A,monthly,350000,1985-04-01,,,
鈴木,A,monthly,300000,1990-06-15,,,
高橋,A,monthly,300000,1992-09-20,,,
田中,A,monthly,280000,1995-03-10,,,
ジョン,B,monthly,250000,1993-07-22,,,在留資格確認済
ソン,B,monthly,250000,1996-11-05,,,在留資格確認済
渡辺,C,hourly,1200,2000-02-14,matsuyama,,
伊藤,C,hourly,1200,2001-08-30,kumoji,月,
山本,C,hourly,1100,1999-05-18,,,
中村,C,hourly,1100,2003-12-01,,土|日,学生
小林,D,hourly,1000,2007-04-10,,,
加藤,D,hourly,1000,2005-09-25,,水,
吉田,D,hourly,1000,2006-01-15,misato,,
山田,D,hourly,1000,2008-07-03,,月|火,学生
佐々木,D,hourly,1000,2004-03-20,,,
